"","dependent.var","independent.var","independent.var.value","dependent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"211","sexe_enqueteur","group_pop","pop_local","homme",0.765151515151515,NA,0.704231610971707,0.826071419331323,"admin1","centre_ouest"
"114","sexe_enqueteur","group_pop","pdi","femme",0.270992366412214,NA,0.225743319161825,0.316241413662602,"admin1","nord"
"212","sexe_enqueteur","group_pop","pdi","homme",0.729007633587786,NA,0.683758586337398,0.774256680838175,"admin1","nord"
"39","sexe_enqueteur","group_pop","pop_local","femme",0.262857142857143,NA,0.231200009270155,0.294514276444131,"admin1","nord"
"47","sexe_enqueteur","group_pop","pop_local","homme",0.737142857142857,NA,0.705485723555869,0.768799990729845,"admin1","nord"
"115","sexe_enqueteur","group_pop","pdi","femme",0.429378531073446,NA,0.368097745447295,0.490659316699597,"admin1","boucle_du_mouhoun"
"213","sexe_enqueteur","group_pop","pdi","homme",0.570621468926554,NA,0.509340683300403,0.631902254552705,"admin1","boucle_du_mouhoun"
"310","sexe_enqueteur","group_pop","pop_local","femme",0.342857142857143,NA,0.316427018226413,0.369287267487873,"admin1","boucle_du_mouhoun"
"48","sexe_enqueteur","group_pop","pop_local","homme",0.657142857142857,NA,0.630712732512127,0.683572981773587,"admin1","boucle_du_mouhoun"
"116","sexe_enqueteur","group_pop","pdi","femme",0.4,NA,0.290394638949166,0.509605361050834,"admin1","hauts_bassins"
"214","sexe_enqueteur","group_pop","pdi","homme",0.6,NA,0.490394638949166,0.709605361050834,"admin1","hauts_bassins"
"311","sexe_enqueteur","group_pop","pop_local","femme",0.445454545454545,NA,0.366825781123051,0.52408330978604,"admin1","hauts_bassins"
"49","sexe_enqueteur","group_pop","pop_local","homme",0.554545454545455,NA,0.47591669021396,0.633174218876949,"admin1","hauts_bassins"
"117","sexe_enqueteur","group_pop","pdi","femme",0.280821917808219,NA,0.237500719346578,0.32414311626986,"admin1","est"
"215","sexe_enqueteur","group_pop","pdi","homme",0.719178082191781,NA,0.67585688373014,0.762499280653422,"admin1","est"
"312","sexe_enqueteur","group_pop","pop_local","femme",0.296671490593343,NA,0.268047105867516,0.32529587531917,"admin1","est"
"410","sexe_enqueteur","group_pop","pop_local","homme",0.703328509406657,NA,0.67470412468083,0.731952894132484,"admin1","est"
"118","sexe_enqueteur","group_pop","pdi","femme",0.470588235294118,NA,0.354479398360441,0.586697072227794,"admin1","cascades"
"216","sexe_enqueteur","group_pop","pdi","homme",0.529411764705882,NA,0.413302927772206,0.645520601639559,"admin1","cascades"
"313","sexe_enqueteur","group_pop","pop_local","femme",0.446808510638298,NA,0.361622638799948,0.531994382476647,"admin1","cascades"
"411","sexe_enqueteur","group_pop","pop_local","homme",0.553191489361702,NA,0.468005617523353,0.638377361200052,"admin1","cascades"
"119","sexe_enqueteur","group_pop","pdi","femme",0.270833333333333,NA,0.195747018867503,0.345919647799164,"admin1","plateau_central"
"217","sexe_enqueteur","group_pop","pdi","homme",0.729166666666667,NA,0.654080352200836,0.804252981132497,"admin1","plateau_central"
"314","sexe_enqueteur","group_pop","pop_local","femme",0.253968253968254,NA,0.18977120838892,0.318165299547588,"admin1","plateau_central"
"412","sexe_enqueteur","group_pop","pop_local","homme",0.746031746031746,NA,0.681834700452412,0.81022879161108,"admin1","plateau_central"
"120","sexe_enqueteur","group_pop","pop_local","femme",0.255813953488372,NA,0.19237950795752,0.319248399019224,"admin1","centre_sud"
"218","sexe_enqueteur","group_pop","pop_local","homme",0.744186046511628,NA,0.680751600980776,0.80762049204248,"admin1","centre_sud"
"121","sexe_enqueteur","group_pop","pop_local","femme",0.366666666666667,NA,0.294004948263847,0.439328385069486,"admin1","sud_ouest"
"219","sexe_enqueteur","group_pop","pop_local","homme",0.633333333333333,NA,0.560671614930514,0.705995051736153,"admin1","sud_ouest"
"122","sexe_enqueteur","group_pop","pop_local","femme",0.26271186440678,NA,0.195786184514744,0.329637544298816,"admin1","centre"
