admin1,Admin1Pcod,Admin2,Admin2Pcod,Admin3,Admin3Pcod,Fem,Mas,Total local,Total PDI,TOTAL,%_PDI,%_local
Boucle du Mouhoun,BF46,Bale,BF4601,Bagassi,BF460101,"24,218","23,414",47632,#N/A,"47,632",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Bana,BF460102,"9,115","9,475",18590,#N/A,"18,590",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Boromo,BF460103,"21,501","21,183",42684,557,"43,241",1%,99%
Boucle du Mouhoun,BF46,Bale,BF4601,Fara,BF460104,"27,826","25,322",53148,44,"53,192",0%,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Ouri,BF460105,"18,690","19,641",38331,#N/A,"38,331",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Pa,BF460106,"14,686","13,563",28249,106,"28,355",0%,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Pompoi,BF460107,"7,973","7,803",15776,#N/A,"15,776",#N/A,100%
Boucle du Mouhoun,BF46,Bale,BF4601,Poura,BF460108,"8,307","8,890",17197,639,"17,836",4%,96%
Boucle du Mouhoun,BF46,Bale,BF4601,Siby,BF460109,"10,095","9,992",20087,244,"20,331",1%,99%
Boucle du Mouhoun,BF46,Bale,BF4601,Yaho,BF460110,"12,032","11,467",23499,#N/A,"23,499",#N/A,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Balave,BF460201,"11,722","11,281",23003,58,"23,061",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Kouka,BF460202,"42,544","41,399",83943,108,"84,051",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Sami,BF460203,"6,229","6,023",12252,#N/A,"12,252",#N/A,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Sanaba,BF460204,"23,901","22,969",46870,112,"46,982",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Solenzo,BF460205,"87,267","85,706",172973,714,"173,687",0%,100%
Boucle du Mouhoun,BF46,Banwa,BF4602,Tansila,BF460206,"21,897","21,552",43449,#N/A,"43,449",#N/A,100%
Boucle du Mouhoun,BF46,Kossi,BF4603,Barani,BF460301,"33,910","33,035",66945,326,"67,271",0%,100%
Boucle du Mouhoun,BF46,Kossi,BF4603,Bomborokuy,BF460302,"10,192","9,986",20178,3667,"23,845",15%,85%
Boucle du Mouhoun,BF46,Kossi,BF4603,Bourasso,BF460303,"8,376","8,009",16385,12,"16,397",0%,100%
Boucle du Mouhoun,BF46,Kossi,BF4603,Djibasso,BF460304,"37,337","35,420",72757,1415,"74,172",2%,98%
Boucle du Mouhoun,BF46,Kossi,BF4603,Dokuy,BF460305,"19,387","19,337",38724,#N/A,"38,724",#N/A,100%
Boucle du Mouhoun,BF46,Kossi,BF4603,Doumbala,BF460306,"19,526","18,630",38156,#N/A,"38,156",#N/A,100%
Boucle du Mouhoun,BF46,Kossi,BF4603,Kombori,BF460307,"7,429","6,737",14166,#N/A,"14,166",#N/A,100%
Boucle du Mouhoun,BF46,Kossi,BF4603,Madouba,BF460308,"4,664","4,537",9201,23,"9,224",0%,100%
Boucle du Mouhoun,BF46,Kossi,BF4603,Nouna,BF460309,"50,727","51,113",101840,2896,"104,736",3%,97%
Boucle du Mouhoun,BF46,Kossi,BF4603,Sono,BF460311,"5,081","5,126",10207,#N/A,"10,207",#N/A,100%
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Bondokuy,BF460401,"36,868","35,221",72089,#N/A,"72,089",#N/A,100%
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Dedougou,BF460402,"63,580","60,496",124076,404,"124,480",0%,100%
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Douroula,BF460403,"9,055","9,213",18268,#N/A,"18,268",#N/A,100%
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Kona,BF460404,"13,642","14,331",27973,39,"28,012",0%,100%
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Ouarkoye,BF460405,"28,376","27,024",55400,97,"55,497",0%,100%
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Safane,BF460406,"34,262","35,521",69783,18,"69,801",0%,100%
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Tcheriba,BF460407,"28,894","27,757",56651,#N/A,"56,651",#N/A,100%
Boucle du Mouhoun,BF46,Nayala,BF4605,Gassan,BF460501,"22,077","22,943",45020,16,"45,036",0%,100%
Boucle du Mouhoun,BF46,Nayala,BF4605,Gossina,BF460502,"13,431","12,197",25628,#N/A,"25,628",#N/A,100%
Boucle du Mouhoun,BF46,Nayala,BF4605,Kougny,BF460503,"10,864","11,299",22163,4,"22,167",0%,100%
Boucle du Mouhoun,BF46,Nayala,BF4605,Toma,BF460504,"20,678","20,248",40926,27,"40,953",0%,100%
Boucle du Mouhoun,BF46,Nayala,BF4605,Yaba,BF460505,"22,650","21,300",43950,73,"44,023",0%,100%
Boucle du Mouhoun,BF46,Nayala,BF4605,Ye,BF460506,"25,230","24,195",49425,#N/A,"49,425",#N/A,100%
Boucle du Mouhoun,BF46,Sourou,BF4606,Di,BF460601,"15,838","16,935",32773,978,"33,751",3%,97%
Boucle du Mouhoun,BF46,Sourou,BF4606,Gomboro,BF460602,"9,853","9,059",18912,#N/A,"18,912",#N/A,100%
Boucle du Mouhoun,BF46,Sourou,BF4606,Kassoum,BF460603,"13,780","15,024",28804,#N/A,"28,804",#N/A,100%
Boucle du Mouhoun,BF46,Sourou,BF4606,Kiembara,BF460604,"21,263","18,932",40195,330,"40,525",1%,99%
Boucle du Mouhoun,BF46,Sourou,BF4606,Lanfiera,BF460605,"12,654","13,189",25843,19,"25,862",0%,100%
Boucle du Mouhoun,BF46,Sourou,BF4606,Lankoue,BF460606,"11,987","10,181",22168,62,"22,230",0%,100%
Boucle du Mouhoun,BF46,Sourou,BF4606,Toeni,BF460607,"20,967","20,512",41479,8,"41,487",0%,100%
Boucle du Mouhoun,BF46,Sourou,BF4606,Tougan,BF460608,"46,993","45,834",92827,2983,"95,810",3%,97%
Cascades,BF47,Comoe,BF4701,Banfora,BF470101,"92,526","87,905",180431,939,"181,370",1%,99%
Cascades,BF47,Comoe,BF4701,Bérégadougou,BF470102,"9,995","9,528",19523,60,"19,583",0%,100%
Cascades,BF47,Comoe,BF4701,Mangodara,BF470103,"42,850","42,251",85101,782,"85,883",1%,99%
Cascades,BF47,Comoe,BF4701,Moussodougou,BF470104,"9,544","7,608",17152,30,"17,182",0%,100%
Cascades,BF47,Comoe,BF4701,Niangoloko,BF470105,"45,575","43,369",88944,774,"89,718",1%,99%
Cascades,BF47,Comoe,BF4701,Ouo,BF470106,"19,925","18,697",38622,464,"39,086",1%,99%
Cascades,BF47,Comoe,BF4701,Sidéradougou,BF470107,"63,431","60,440",123871,1886,"125,757",1%,99%
Cascades,BF47,Comoe,BF4701,Soubakaniedougou,BF470108,"23,828","22,293",46121,77,"46,198",0%,100%
Cascades,BF47,Comoe,BF4701,Tiéfora,BF470109,"36,514","33,253",69767,800,"70,567",1%,99%
Cascades,BF47,Leraba,BF4702,Dakoro,BF470201,"9,905","9,438",19343,#N/A,"19,343",#N/A,100%
Cascades,BF47,Leraba,BF4702,Douna,BF470202,"6,970","6,259",13229,#N/A,"13,229",#N/A,100%
Cascades,BF47,Leraba,BF4702,Kankalaba,BF470203,"7,212","6,926",14138,#N/A,"14,138",#N/A,100%
Cascades,BF47,Leraba,BF4702,Loumana,BF470204,"18,076","17,685",35761,#N/A,"35,761",#N/A,100%
Cascades,BF47,Leraba,BF4702,Niankorodougou,BF470205,"25,505","24,425",49930,#N/A,"49,930",#N/A,100%
Cascades,BF47,Leraba,BF4702,Oueleni,BF470206,"8,837","8,217",17054,#N/A,"17,054",#N/A,100%
Cascades,BF47,Leraba,BF4702,Sindou,BF470207,"13,868","12,864",26732,19,"26,751",0%,100%
Cascades,BF47,Leraba,BF4702,Wolokonto,BF470208,"3,066","2,491",5557,14,"5,571",0%,100%
Centre,BF13,Kadiogo,BF1300,Komki-Ipala,BF130001,"18,763","16,559",35322,#N/A,"35,322",#N/A,100%
Centre,BF13,Kadiogo,BF1300,Komsilga,BF130002,"45,628","45,603",91231,#N/A,"91,231",#N/A,100%
Centre,BF13,Kadiogo,BF1300,Koubri,BF130003,"38,228","37,233",75461,#N/A,"75,461",#N/A,100%
Centre,BF13,Kadiogo,BF1300,Ouagadougou,BF130004,"1,252,830","1,281,355",2534185,1051,"2,535,236",0%,100%
Centre,BF13,Kadiogo,BF1300,Pabre,BF130005,"25,279","22,641",47920,#N/A,"47,920",#N/A,100%
Centre,BF13,Kadiogo,BF1300,Saaba,BF130006,"44,083","43,329",87412,#N/A,"87,412",#N/A,100%
Centre,BF13,Kadiogo,BF1300,Tanghin-Dassouri,BF130007,"51,264","43,512",94776,#N/A,"94,776",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Bagré,BF480101,"21,668","20,679",42347,209,"42,556",0%,100%
Centre-Est,BF48,Boulgou,BF4801,Bane,BF480102,"17,891","16,531",34422,#N/A,"34,422",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Beguedo,BF480103,"14,923","12,888",27811,#N/A,"27,811",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Bissiga,BF480104,"15,635","14,853",30488,#N/A,"30,488",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Bittou,BF480105,"53,432","51,191",104623,191,"104,814",0%,100%
Centre-Est,BF48,Boulgou,BF4801,Boussouma,BF480106,"21,531","17,317",38848,0,,#DIV/0!,#DIV/0!
Centre-Est,BF48,Boulgou,BF4801,Garango,BF480107,"58,351","48,633",106984,#N/A,"106,984",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Komtoega,BF480108,"15,818","14,201",30019,#N/A,"30,019",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Niaogo,BF480109,"14,610","12,942",27552,#N/A,"27,552",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Tenkodogo,BF480110,"95,737","85,745",181482,#N/A,"181,482",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Zabré,BF480111,"64,648","55,532",120180,715,"120,895",1%,99%
Centre-Est,BF48,Boulgou,BF4801,Zoaga,BF480112,"8,198","7,501",15699,#N/A,"15,699",#N/A,100%
Centre-Est,BF48,Boulgou,BF4801,Zonse,BF480113,"16,070","12,757",28827,#N/A,"28,827",#N/A,100%
Centre-Est,BF48,Koulpelgo,BF4802,Comin-Yanga,BF480201,"31,707","29,193",60900,1233,"62,133",2%,98%
Centre-Est,BF48,Koulpelgo,BF4802,Dourtenga,BF480202,"7,735","6,460",14195,287,"14,482",2%,98%
Centre-Est,BF48,Koulpelgo,BF4802,Lalgaye,BF480203,"11,994","10,529",22523,#N/A,"22,523",#N/A,100%
Centre-Est,BF48,Koulpelgo,BF4802,Ouargaye,BF480204,"25,871","22,838",48709,1875,"50,584",4%,96%
Centre-Est,BF48,Koulpelgo,BF4802,Sangha,BF480205,"37,010","31,925",68935,#N/A,"68,935",#N/A,100%
Centre-Est,BF48,Koulpelgo,BF4802,Soudougui,BF480206,"37,018","33,400",70418,139,"70,557",0%,100%
Centre-Est,BF48,Koulpelgo,BF4802,Yargatenga,BF480207,"32,686","28,446",61132,#N/A,"61,132",#N/A,100%
Centre-Est,BF48,Koulpelgo,BF4802,Yonde,BF480208,"20,548","18,439",38987,#N/A,"38,987",#N/A,100%
Centre-Est,BF48,Kouritenga,BF4803,Andemtenga,BF480301,"38,411","33,325",71736,282,"72,018",0%,100%
Centre-Est,BF48,Kouritenga,BF4803,Baskoure,BF480302,"9,282","7,808",17090,#N/A,"17,090",#N/A,100%
Centre-Est,BF48,Kouritenga,BF4803,Dialgaye,BF480303,"29,135","24,649",53784,#N/A,"53,784",#N/A,100%
Centre-Est,BF48,Kouritenga,BF4803,Gounghin,BF480304,"27,917","23,482",51399,1680,"53,079",3%,97%
Centre-Est,BF48,Kouritenga,BF4803,Kando,BF480305,"22,159","19,072",41231,96,"41,327",0%,100%
Centre-Est,BF48,Kouritenga,BF4803,Koupela,BF480306,"44,386","40,768",85154,751,"85,905",1%,99%
Centre-Est,BF48,Kouritenga,BF4803,Pouytenga,BF480307,"56,600","53,102",109702,5914,"115,616",5%,95%
Centre-Est,BF48,Kouritenga,BF4803,Tensobentenga,BF480308,"15,645","13,551",29196,#N/A,"29,196",#N/A,100%
Centre-Est,BF48,Kouritenga,BF4803,Yargo,BF480309,"11,390","10,083",21473,#N/A,"21,473",#N/A,100%
Centre-Nord,BF49,Bam,BF4901,Bourzanga,BF490101,"36,389","32,768",69157,31723,"100,880",31%,69%
Centre-Nord,BF49,Bam,BF4901,Guibare,BF490102,"18,387","15,581",33968,215,"34,183",1%,99%
Centre-Nord,BF49,Bam,BF4901,Kongoussi,BF490103,"53,199","49,397",102596,20842,"123,438",17%,83%
Centre-Nord,BF49,Bam,BF4901,Nassere,BF490104,"7,960","7,092",15052,127,"15,179",1%,99%
Centre-Nord,BF49,Bam,BF4901,Rollo,BF490105,"21,215","18,239",39454,4618,"44,072",10%,90%
Centre-Nord,BF49,Bam,BF4901,Rouko,BF490106,"10,616","9,115",19731,282,"20,013",1%,99%
Centre-Nord,BF49,Bam,BF4901,Sabce,BF490107,"17,567","15,885",33452,982,"34,434",3%,97%
Centre-Nord,BF49,Bam,BF4901,Tikare,BF490108,"28,069","23,621",51690,1742,"53,432",3%,97%
Centre-Nord,BF49,Bam,BF4901,Zimtenga,BF490109,"17,636","15,817",33453,703,"34,156",2%,98%
Centre-Nord,BF49,Namentenga,BF4902,Boala,BF490201,"20,046","16,138",36184,768,"36,952",2%,98%
Centre-Nord,BF49,Namentenga,BF4902,Boulsa,BF490202,"63,454","55,267",118721,1151,"119,872",1%,99%
Centre-Nord,BF49,Namentenga,BF4902,Bouroum,BF490203,"35,135","31,827",66962,30522,"97,484",31%,69%
Centre-Nord,BF49,Namentenga,BF4902,Dargo,BF490204,"22,403","19,986",42389,433,"42,822",1%,99%
Centre-Nord,BF49,Namentenga,BF4902,Nagbingou,BF490205,"11,992","11,188",23180,2010,"25,190",8%,92%
Centre-Nord,BF49,Namentenga,BF4902,Tougouri,BF490206,"58,646","52,626",111272,8982,"120,254",7%,93%
Centre-Nord,BF49,Namentenga,BF4902,Yalgo,BF490207,"23,611","22,218",45829,12786,"58,615",22%,78%
Centre-Nord,BF49,Namentenga,BF4902,Zeguedeguin,BF490208,"16,897","14,828",31725,358,"32,083",1%,99%
Centre-Nord,BF49,Sanmatenga,BF4903,Barsalogho,BF490301,"59,550","54,216",113766,96939,"210,705",46%,54%
